Christmas 2025 w/ Arrowhead,,Merry Christmas in the Snowy Fields 2025,,Lotto Drop Bonus:,,4,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,27.57,30,215,Lotto,4,,1.679,1.025,,6555,Vestige of Madness,20.32,135.7,AP,0.220,0.164,,6527,Deadly Poison Needle,11.23,245.5,AP,0.124,0.073,,6107,Magic Gem of Berserker,5.35,515.3,AP,0.043,,,7007,Berserker Piece,12.83,214.9,AP,0.090,,,6007,Gem of Berserker,13.37,206.2,AP,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",87,"13,170",,,24.3,6.1,12.3,340.2,,6541,Arrowhead of Malice,16.210,170.1,AP,0.268,0.162,,6526,Shell of Reminiscence,16.210,170.1,AP,0.273,0.150,,6514,Homunculus Baby,16.210,170.1,AP,0.267,0.157,,6534,Mystic Gunpowder,24.315,113.4,AP,0.242,0.149,,6533,Stake of Wailing Night,24.315,113.4,AP,0.241,0.144,,6549,Small Bell of Absolution,4.296,641.8,AP,0.045,0.026,,6005,Gem of Caster,2.594,"1,063.0",AP,0.008,,,,,,,,,,,,-1,Blue Gems,16.210,,-2,Red Gems,16.210,,-3,Gold Gems,8.105,,-6,XP,243.2
Intermediate,31.84,35,415,Lotto,4,,2.018,1.197,,6545,Divine Leyline Spiritron,17.56,181.3,AP,0.255,0.156,,6508,Ghost Lantern,18.05,176.4,AP,0.259,0.153,,6006,Gem of Assassin,26.59,119.7,AP,0.061,,,7006,Assassin Piece,14.63,217.6,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",138,"14,835",,,30.5,8.2,9.5,302.0,,6541,Arrowhead of Malice,21.087,151.0,AP,0.302,0.183,,6526,Shell of Reminiscence,21.087,151.0,AP,0.307,0.169,,6514,Homunculus Baby,21.087,151.0,AP,0.301,0.177,,6534,Mystic Gunpowder,31.630,100.7,AP,0.272,0.167,,6533,Stake of Wailing Night,31.630,100.7,AP,0.271,0.162,,6549,Small Bell of Absolution,5.588,569.8,AP,0.051,0.030,,6005,Gem of Caster,3.374,943.7,AP,0.009,,,,,,,,,,,,-1,Blue Gems,21.087,,-2,Red Gems,21.087,,-3,Gold Gems,10.543,,-6,XP,316.3
Advanced,36.25,40,615,Lotto,4,,2.109,1.292,,6535,Eternal Ice,48.16,75.3,AP,0.542,0.367,,6101,Magic Gem of Saber,18.21,199.1,AP,0.111,,,7101,Saber Monument,11.03,328.6,AP,0.148,,,6001,Gem of Saber,22.94,158.0,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",177,"15,452",,,35.6,9.9,8.0,289.9,,6541,Arrowhead of Malice,25.007,145.0,AP,0.315,0.190,,6526,Shell of Reminiscence,25.007,145.0,AP,0.320,0.176,,6514,Homunculus Baby,25.007,145.0,AP,0.313,0.185,,6534,Mystic Gunpowder,37.510,96.6,AP,0.284,0.174,,6533,Stake of Wailing Night,37.510,96.6,AP,0.282,0.169,,6549,Small Bell of Absolution,6.627,547.0,AP,0.053,0.031,,6005,Gem of Caster,4.001,906.0,AP,0.009,,,,,,,,,,,,-1,Blue Gems,25.007,,-2,Red Gems,25.007,,-3,Gold Gems,12.503,,-6,XP,375.1
Expert,35.83,40,815,Lotto,4,,2.668,1.581,,6553,Sun Leather,22.08,162.3,AP,0.276,0.201,,6511,Forbidden Page,21.62,165.7,AP,0.366,0.166,,6516,Evil Bone,50.64,70.8,AP,0.264,0.174,,6205,Secret Gem of Caster,14.68,244.1,AP,0.203,,,7105,Caster Monument,4.74,755.9,AP,0.065,,,6107,Magic Gem of Berserker,16.88,212.3,AP,0.104,,,7107,Berserker Monument,3.12,"1,148.4",AP,0.042,,,6007,Gem of Berserker,17.11,209.4,AP,0.033,,,7106,Assassin Monument,6.13,584.5,AP,0.083,,,7104,Rider Monument,3.93,911.7,AP,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",234,"17,374",,,35.7,11.9,7.2,257.9,,6541,Arrowhead of Malice,27.790,128.9,AP,0.354,0.214,,6526,Shell of Reminiscence,27.790,128.9,AP,0.360,0.198,,6514,Homunculus Baby,27.790,128.9,AP,0.352,0.208,,6534,Mystic Gunpowder,41.685,86.0,AP,0.319,0.196,,6533,Stake of Wailing Night,41.685,86.0,AP,0.318,0.190,,6549,Small Bell of Absolution,7.364,486.5,AP,0.059,0.035,,6005,Gem of Caster,4.446,805.8,AP,0.010,,,,,,,,,,,,-1,Blue Gems,27.790,,-2,Red Gems,27.790,,-3,Gold Gems,13.895,,-6,XP,416.9
Powder: Day 1,34.71,40,915,Lotto,4,,3.828,2.225,,6529,Cursed Beast Gallstone,21.61,160.6,AP,0.961,0.500,,6535,Eternal Ice,22.75,152.6,AP,0.267,0.181,,6551,Ceremonial Sword of Twilight,34.99,99.2,AP,0.292,0.183,,6205,Secret Gem of Caster,21.99,157.8,AP,0.314,,,7105,Caster Monument,21.22,163.6,AP,0.298,,,6105,Magic Gem of Caster,17.21,201.7,AP,0.088,,,6005,Gem of Caster,16.63,208.7,AP,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",271,"22,753",,,45.3,15.1,5.7,196.9,,6541,Arrowhead of Malice,35.257,98.4,AP,0.463,0.280,,6526,Shell of Reminiscence,35.257,98.4,AP,0.471,0.259,,6514,Homunculus Baby,35.257,98.4,AP,0.461,0.272,,6534,Mystic Gunpowder,52.885,65.6,AP,0.417,0.257,,6533,Stake of Wailing Night,52.885,65.6,AP,0.416,0.248,,6549,Small Bell of Absolution,9.343,371.5,AP,0.078,0.046,,6005,Gem of Caster,5.641,615.3,AP,0.013,,,,,,,,,,,,-1,Blue Gems,35.257,,-2,Red Gems,35.257,,-3,Gold Gems,17.628,,-6,XP,528.9
Flake: Day 1,34.24,40,"1,098",Lotto,4,,3.982,2.309,,6519,Warhorse's Young Horn,31.54,108.6,AP,0.793,0.467,,6526,Shell of Reminiscence,29.12,117.6,AP,0.395,0.217,,6503,Proof of Hero,45.27,75.6,AP,0.247,0.120,,6101,Magic Gem of Saber,31.13,110.0,AP,0.201,,,7101,Saber Monument,26.02,131.6,AP,0.371,,,6001,Gem of Saber,27.99,122.3,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",329,"25,126",,,49.4,16.5,5.2,178.3,,6541,Arrowhead of Malice,38.407,89.2,AP,0.511,0.309,,6526,Shell of Reminiscence,38.407,89.2,AP,0.520,0.286,,6514,Homunculus Baby,38.407,89.2,AP,0.509,0.300,,6534,Mystic Gunpowder,57.610,59.4,AP,0.461,0.283,,6533,Stake of Wailing Night,57.610,59.4,AP,0.459,0.274,,6549,Small Bell of Absolution,10.178,336.4,AP,0.086,0.050,,6005,Gem of Caster,6.145,557.2,AP,0.015,,,,,,,,,,,,-1,Blue Gems,38.407,,-2,Red Gems,38.407,,-3,Gold Gems,19.203,,-6,XP,576.1
Powder: Day 2,34.7,40,915,Lotto,4,,3.732,2.228,,6528,Primordial Lanugo,26.72,129.9,AP,0.801,0.470,,6538,Soundless Bell,24.38,142.3,AP,0.324,0.193,,6535,Eternal Ice,25,138.8,AP,0.294,0.199,,6204,Secret Gem of Rider,20.31,170.9,AP,0.429,,,7104,Rider Monument,17.97,193.1,AP,0.258,,,6104,Magic Gem of Rider,15.31,226.6,AP,0.095,,,6004,Gem of Rider,16.72,207.5,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",271,"22,820",,,45.5,15.2,5.7,196.3,,6541,Arrowhead of Malice,35.350,98.2,AP,0.465,0.281,,6526,Shell of Reminiscence,35.350,98.2,AP,0.473,0.260,,6514,Homunculus Baby,35.350,98.2,AP,0.463,0.273,,6534,Mystic Gunpowder,53.025,65.4,AP,0.419,0.257,,6533,Stake of Wailing Night,53.025,65.4,AP,0.417,0.249,,6549,Small Bell of Absolution,9.368,370.4,AP,0.078,0.046,,6005,Gem of Caster,5.656,613.5,AP,0.013,,,,,,,,,,,,-1,Blue Gems,35.350,,-2,Red Gems,35.350,,-3,Gold Gems,17.675,,-6,XP,530.3
Flake: Day 2,34.23,40,"1,098",Lotto,4,,3.860,2.273,,6550,Scale of Fantasy,49.82,68.7,AP,0.671,0.416,,6508,Ghost Lantern,28.76,119.0,AP,0.384,0.227,,6503,Proof of Hero,46.46,73.7,AP,0.254,0.124,,6103,Magic Gem of Lancer,16.48,207.7,AP,0.097,,,7103,Lancer Monument,26.55,128.9,AP,0.371,,,6003,Gem of Lancer,28.77,119.0,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",330,"25,164",,,49.4,16.5,5.2,178.0,,6541,Arrowhead of Malice,38.453,89.0,AP,0.512,0.310,,6526,Shell of Reminiscence,38.453,89.0,AP,0.521,0.287,,6514,Homunculus Baby,38.453,89.0,AP,0.510,0.301,,6534,Mystic Gunpowder,57.680,59.3,AP,0.462,0.284,,6533,Stake of Wailing Night,57.680,59.3,AP,0.460,0.275,,6549,Small Bell of Absolution,10.190,335.9,AP,0.086,0.050,,6005,Gem of Caster,6.153,556.4,AP,0.015,,,,,,,,,,,,-1,Blue Gems,38.453,,-2,Red Gems,38.453,,-3,Gold Gems,19.227,,-6,XP,576.8
Powder: Day 3,34.79,40,915,Lotto,4,,3.842,2.306,,6548,Flaming Oni Lantern Plant,20.75,167.7,AP,0.929,0.569,,6547,Ball of Rainbow Thread,26.12,133.2,AP,0.344,0.210,,6551,Ceremonial Sword of Twilight,36.14,96.3,AP,0.301,0.188,,6201,Secret Gem of Saber,23.26,149.6,AP,0.481,,,7101,Saber Monument,18.78,185.3,AP,0.263,,,6101,Magic Gem of Saber,16.82,206.8,AP,0.107,,,6001,Gem of Saber,17.89,194.5,AP,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",270,"22,370",,,44.7,14.9,5.8,200.3,,6541,Arrowhead of Malice,34.743,100.1,AP,0.455,0.275,,6526,Shell of Reminiscence,34.743,100.1,AP,0.463,0.255,,6514,Homunculus Baby,34.743,100.1,AP,0.453,0.267,,6534,Mystic Gunpowder,52.115,66.8,AP,0.410,0.252,,6533,Stake of Wailing Night,52.115,66.8,AP,0.409,0.244,,6549,Small Bell of Absolution,9.207,377.9,AP,0.076,0.045,,6005,Gem of Caster,5.559,625.8,AP,0.013,,,,,,,,,,,,-1,Blue Gems,34.743,,-2,Red Gems,34.743,,-3,Gold Gems,17.372,,-6,XP,521.2
Flake: Day 3,34.22,40,"1,098",Lotto,4,,4.083,2.347,,6546,Fruit of Eternity,30.78,111.2,AP,0.826,0.416,,6545,Divine Leyline Spiritron,29.21,117.2,AP,0.395,0.241,,6527,Deadly Poison Needle,34.55,99.0,AP,0.307,0.181,,6103,Magic Gem of Lancer,32.47,105.4,AP,0.191,,,7103,Lancer Monument,25.83,132.5,AP,0.361,,,6003,Gem of Lancer,26.81,127.6,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",330,"25,202",,,49.5,16.5,5.2,177.8,,6541,Arrowhead of Malice,38.500,88.9,AP,0.513,0.310,,6526,Shell of Reminiscence,38.500,88.9,AP,0.522,0.287,,6514,Homunculus Baby,38.500,88.9,AP,0.511,0.301,,6534,Mystic Gunpowder,57.750,59.3,AP,0.462,0.284,,6533,Stake of Wailing Night,57.750,59.3,AP,0.461,0.275,,6549,Small Bell of Absolution,10.203,335.4,AP,0.086,0.050,,6005,Gem of Caster,6.160,555.5,AP,0.015,,,,,,,,,,,,-1,Blue Gems,38.500,,-2,Red Gems,38.500,,-3,Gold Gems,19.250,,-6,XP,577.5
