,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
ID #,6503,6516,6512,6505,6522,6527,6530,6533,6534,6549,6551,6552,6554,6555,6502,6508,6515,6509,6501,6510,6511,6514,6513,6524,6526,6532,6535,6537,6536,6538,6541,6543,6545,6547,6550,6553,6556,6557,6559,6507,6517,6506,6518,6519,6520,6521,6523,6525,6528,6529,6531,6539,6540,6542,6544,6546,6548,6558,6560,6001,6002,6003,6004,6005,6006,6007,6101,6102,6103,6104,6105,6106,6107,6201,6202,6203,6204,6205,6206,6207,7001,7002,7003,7004,7005,7006,7007,7101,7102,7103,7104,7105,7106,7107,9701400,9703400,9702400,9704400,9705400,9706400,9707400,9701500,9703500,9702500,9704500,9705500,9706500,9707500,0,-1,-2,-3,-4,-5,-6
Material,Proof of Hero,Evil Bone,Dragon Fang,Void's Dust,Fool's Chain,Deadly Poison Needle,Mystic Spinal Fluid,Stake of Wailing Night,Mystic Gunpowder,Small Bell of Absolution,Ceremonial Sword of Twilight,Ash of Remembrance,Obsidian Knife,Vestige of Madness,Seed of Yggdrasil,Ghost Lantern,Octuplet Crystal,Serpent Jewel,Phoenix Feather,Eternal Gear,Forbidden Page,Homunculus Baby,Meteor Horseshoes,Great Knight Medal,Shell of Reminiscence,Refined Magatama,Eternal Ice,Giant's Ring,Aurora Steel,Soundless Bell,Arrowhead of Malice,Crown of Silvery Light,Divine Leyline Spiritron,Ball of Rainbow Thread,Scale of Fantasy,Sun Leather,Ether Photon Converger,Flower of the End,Universal Cube,Claw of Chaos,Heart of the Foreign God,Dragon's Reverse Scale,Spirit Root,Warhorse's Young Horn,Tearstone of Blood,Black Beast Grease,Lamp of Evil-Sealing,Scarab of Wisdom,Primordial Lanugo,Cursed Beast Gallstone,Mysterious Divine Wine,Reactor Core of Dawn,Tsukumo Mirror,Egg of Truth,Fragment of a Twinkling Star,Fruit of Eternity,Flaming Oni Lantern Plant,Golden Cauldron,Moonlight Nucleus,Gem of Saber,Gem of Archer,Gem of Lancer,Gem of Rider,Gem of Caster,Gem of Assassin,Gem of Berserker,Magic Gem of Saber,Magic Gem of Archer,Magic Gem of Lancer,Magic Gem of Rider,Magic Gem of Caster,Magic Gem of Assassin,Magic Gem of Berserker,Secret Gem of Saber,Secret Gem of Archer,Secret Gem of Lancer,Secret Gem of Rider,Secret Gem of Caster,Secret Gem of Assassin,Secret Gem of Berserker,Saber Piece,Archer Piece,Lancer Piece,Rider Piece,Caster Piece,Assassin Piece,Berserker Piece,Saber Monument,Archer Monument,Lancer Monument,Rider Monument,Caster Monument,Assassin Monument,Berserker Monument,Saber Blaze,Archer Blaze,Lancer Blaze,Rider Blaze,Caster Blaze,Assassin Blaze,Berserker Blaze,Saber Hellfire,Archer Hellfire,Lancer Hellfire,Rider Hellfire,Caster Hellfire,Assassin Hellfire,Berserker Hellfire,,Blue Gems,Red Gems,Gold Gems,Silver Statues,Gold Statues,EXP
AP/Drop,18.7,18.7,25.1,28.9,26.3,30.4,28.7,27.3,27.4,28.9,29.0,30.0,28.9,29.8,28.1,45.7,46.2,38.1,52.3,43.3,30.1,45.4,43.5,54.4,31.1,45.6,31.4,45.0,31.8,31.3,45.6,30.5,46.3,45.8,46.1,44.8,46.2,46.4,31.7,93.1,152.5,35.5,153.5,86.1,108.5,92.7,40.0,153.2,104.0,154.4,141.8,92.2,153.1,159.1,150.3,30.4,155.8,123.1,35.4,7.5,7.2,8.4,8.4,8.2,7.3,6.9,22.1,20.0,20.1,21.6,17.7,19.0,22.0,71.9,72.3,73.5,73.3,49.5,73.0,73.9,18.9,16.8,18.7,16.4,15.4,16.0,16.8,48.8,49.2,47.8,49.8,48.8,48.6,48.4,20.8,23.4,23.0,5.8,20.3,21.4,24.4,22.6,216.2,202.1,380.0,12.7,350.9,132.6,,,,,,,
Exclude,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3
Skip To,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Eff,2.052,1.523,1.533,2.021,1.669,1.697,1.754,1.675,1.627,1.358,1.599,1.628,1.629,1.341,1.754,1.693,2.052,2.000,1.754,2.021,1.678,1.697,1.403,1.716,1.725,1.916,1.351,1.775,1.434,1.519,1.653,1.519,1.637,1.640,1.612,1.372,1.679,1.720,1.300,1.675,1.678,2.000,2.052,1.697,1.754,1.640,1.678,1.693,1.585,1.924,1.924,1.775,2.021,1.699,1.568,1.325,1.632,1.607,1.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position Data:,Ranked from Highest to Lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109,244,138,272,209,6,1,11,181,262,267,276,281,317,1,330,109,312,1,272,21,6,16,332,31,157,183,199,194,204,206,220,229,237,254,289,325,334,314,11,21,312,109,6,1,237,21,330,184,293,293,199,272,214,232,226,248,337,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
