Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Texas Beyond,40,0.774,0.471,,Black Beast Grease,18.36,217.9,AP,0.471,0.285,,,Fool's Chain,41.78,95.7,AP,0.303,0.186,,,Magic Gem of Saber,19.9,201.0,AP,0.111,,,,Saber Piece,22.1,181.0,AP,0.160,,,,Gem of Saber,15.2,263.2,AP,0.030,,,,Gem of Berserker,13.6,294.1,AP,0.026,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Blue Tank,40,0.926,0.517,,Tearstone of Blood,19.47,205.4,AP,0.565,0.282,,,Ghost Lantern,27.79,143.9,AP,0.361,0.234,,,Magic Gem of Berserker,16.6,241.0,AP,0.091,,,,Berserker Piece,17.8,224.7,AP,0.129,,,,Gem of Berserker,30.2,132.5,AP,0.057,,,,Berserker Hellfire,1.32,"3,030.3",AP,0.071,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyss Sargasso,40,0.973,0.522,,Scarab of Wisdom,10.8,370.4,AP,0.474,0.279,,,Octuplet Crystal,20.4,196.1,AP,0.266,0.130,,,Eternal Gear,20.53,194.8,AP,0.234,0.113,,,Secret Gem of Caster,8.3,481.9,AP,0.109,,,,Caster Piece,20,200.0,AP,0.120,,,,Magic Gem of Caster,15.2,263.2,AP,0.067,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Csejte,40,1.064,0.519,,Spirit Root,19.75,202.5,AP,0.787,0.384,,,Proof of Hero,53.88,74.2,AP,0.277,0.135,,,Secret Gem of Saber,20.31,196.9,AP,0.732,,,,Saber Monument,20.1,199.0,AP,0.374,,,,Magic Gem of Saber,24.4,163.9,AP,0.137,,,,Gem of Saber,15.4,259.7,AP,0.031,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zenjo,40,0.922,0.457,,Reactor Core of Dawn,20,200.0,AP,0.519,0.262,,,Eternal Gear,35.4,113.0,AP,0.403,0.195,,,Magic Gem of Assassin,26.8,149.3,AP,0.121,,,,Assassin Monument,18.2,219.8,AP,0.317,,,,Gem of Assassin,22.4,178.6,AP,0.043,,,,Assassin Hellfire,4,"1,000.0",AP,0.325,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Planet Celtont,40,0.962,0.614,,Warhorse's Young Horn,22.41,178.5,AP,0.521,0.293,,,Meteor Horseshoes,35.74,111.9,AP,0.441,0.321,,,Secret Gem of Lancer,10.19,392.5,AP,0.373,,,,Lancer Monument,18.5,216.2,AP,0.337,,,,Magic Gem of Lancer,31.5,127.0,AP,0.159,,,,Gem of Lancer,20.4,196.1,AP,0.043,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Kitchen,40,1.003,0.555,,Cursed Beast Gallstone,15.82,252.8,AP,0.619,0.334,,,Serpent Jewel,11.16,358.4,AP,0.151,0.090,,,Seed of Yggdrasil,23.16,172.7,AP,0.233,0.131,,,Secret Gem of Archer,14.41,277.6,AP,0.485,,,,Archer Monument,21.2,188.7,AP,0.366,,,,Magic Gem of Archer,20.9,191.4,AP,0.102,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantasy Planet Caribou,40,1.188,0.709,,Dragon's Reverse Scale,20.01,199.9,AP,0.865,0.489,,,Dragon Fang,46.52,86.0,AP,0.323,0.220,,,Secret Gem of Rider,18.61,214.9,AP,0.473,,,,Rider Monument,19.5,205.1,AP,0.334,,,,Magic Gem of Rider,24.9,160.6,AP,0.134,,,,Gem of Rider,14.9,268.5,AP,0.031,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Maanna,40,0.891,0.582,,Giant's Ring,35.21,113.6,AP,0.433,0.255,,,Mystic Spinal Fluid,57.01,70.2,AP,0.458,0.327,,,Magic Gem of Rider,27.1,147.6,AP,0.146,,,,Rider Monument,18.6,215.1,AP,0.319,,,,Gem of Rider,34.7,115.3,AP,0.073,,,,Rider Hellfire,1.56,"2,564.1",AP,0.145,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vagrant Planet Arton,40,1.275,0.805,,Egg of Truth,19.46,205.5,AP,0.801,0.475,,,Homunculus Baby,35.95,111.3,AP,0.475,0.331,,,Secret Gem of Berserker,20.61,194.1,AP,0.856,,,,Berserker Monument,5.1,784.3,AP,0.092,,,,Magic Gem of Berserker,25.4,157.5,AP,0.140,,,,Gem of Berserker,15.7,254.8,AP,0.029,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vagrant Planet (back),40,1.633,0.989,,Fragment of a Twinkling Star,24.92,160.5,AP,1.047,0.627,,,Stake of Wailing Night,75.64,52.9,AP,0.586,0.362,,,Secret Gem of Saber,30.05,133.1,AP,1.083,,,,Saber Monument,25.3,158.1,AP,0.471,,,,Gem of Berserker,34.8,114.9,AP,0.065,,,,Saber Hellfire,2.65,"1,509.4",AP,0.015,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
